Statename,StateID,Count,Site,Year,Survey,Species,ManagementZone,Population
MT,4,4,3,2014,3,SG,Management Zone I,SimData
MT,4,2,4,2002,1,SG,Management Zone I,SimData
MT,4,3,4,2002,3,SG,Management Zone I,SimData
MT,4,0,4,2002,4,SG,Management Zone I,SimData
MT,4,0,4,2002,2,SG,Management Zone I,SimData
MT,4,0,4,2003,1,SG,Management Zone I,SimData
MT,4,3,4,2003,2,SG,Management Zone I,SimData
MT,4,8,4,2003,3,SG,Management Zone I,SimData
MT,4,6,4,2003,4,SG,Management Zone I,SimData
MT,4,7,4,2004,2,SG,Management Zone I,SimData
MT,4,3,4,2004,1,SG,Management Zone I,SimData
MT,4,7,4,2004,3,SG,Management Zone I,SimData
MT,4,0,4,2004,4,SG,Management Zone I,SimData
MT,4,0,4,2005,1,SG,Management Zone I,SimData
MT,4,4,4,2006,3,SG,Management Zone I,SimData
MT,4,2,4,2006,1,SG,Management Zone I,SimData
MT,4,0,4,2006,2,SG,Management Zone I,SimData
MT,4,0,4,2006,4,SG,Management Zone I,SimData
MT,4,1,4,2007,1,SG,Management Zone I,SimData
MT,4,0,4,2007,2,SG,Management Zone I,SimData
MT,4,0,4,2007,3,SG,Management Zone I,SimData
MT,4,9,4,2007,4,SG,Management Zone I,SimData
MT,4,0,4,2007,5,SG,Management Zone I,SimData
MT,4,4,4,2008,1,SG,Management Zone I,SimData
MT,4,8,4,2008,2,SG,Management Zone I,SimData
MT,4,5,4,2008,3,SG,Management Zone I,SimData
MT,4,10,4,2009,1,SG,Management Zone I,SimData
MT,4,0,4,2009,2,SG,Management Zone I,SimData
MT,4,4,4,2011,1,SG,Management Zone I,SimData
MT,4,0,4,2011,2,SG,Management Zone I,SimData
MT,4,0,5,2007,1,SG,Management Zone I,SimData
MT,4,0,5,2011,1,SG,Management Zone I,SimData
MT,4,6,5,2012,1,SG,Management Zone I,SimData
MT,4,0,5,2012,2,SG,Management Zone I,SimData
MT,4,25,6,2002,1,SG,Management Zone I,SimData
MT,4,19,6,2002,2,SG,Management Zone I,SimData
MT,4,47,6,2002,3,SG,Management Zone I,SimData
MT,4,23,6,2003,1,SG,Management Zone I,SimData
MT,4,30,6,2003,2,SG,Management Zone I,SimData
MT,4,23,6,2004,1,SG,Management Zone I,SimData
MT,4,30,6,2004,2,SG,Management Zone I,SimData
MT,4,19,6,2005,1,SG,Management Zone I,SimData
MT,4,50,6,2006,1,SG,Management Zone I,SimData
MT,4,6,6,2006,2,SG,Management Zone I,SimData
MT,4,35,6,2007,3,SG,Management Zone I,SimData
MT,4,32,6,2007,2,SG,Management Zone I,SimData
MT,4,45,6,2007,1,SG,Management Zone I,SimData
MT,4,36,6,2008,1,SG,Management Zone I,SimData
MT,4,27,6,2009,1,SG,Management Zone I,SimData
MT,4,18,6,2010,1,SG,Management Zone I,SimData
MT,4,36,6,2010,2,SG,Management Zone I,SimData
MT,4,0,6,2010,3,SG,Management Zone I,SimData
MT,4,5,6,2011,1,SG,Management Zone I,SimData
MT,4,4,6,2011,3,SG,Management Zone I,SimData
MT,4,9,6,2011,2,SG,Management Zone I,SimData
MT,4,28,6,2012,2,SG,Management Zone I,SimData
MT,4,9,6,2012,3,SG,Management Zone I,SimData
MT,4,32,6,2012,1,SG,Management Zone I,SimData
MT,4,23,6,2013,1,SG,Management Zone I,SimData
MT,4,25,6,2013,2,SG,Management Zone I,SimData
MT,4,8,6,2014,2,SG,Management Zone I,SimData
MT,4,8,6,2014,3,SG,Management Zone I,SimData
MT,4,8,6,2014,1,SG,Management Zone I,SimData
MT,4,18,6,2014,6,SG,Management Zone I,SimData
MT,4,0,6,2014,5,SG,Management Zone I,SimData
MT,4,33,6,2014,4,SG,Management Zone I,SimData
MT,4,5,7,2002,1,SG,Management Zone I,SimData
MT,4,0,7,2004,1,SG,Management Zone I,SimData
MT,4,0,7,2004,2,SG,Management Zone I,SimData
MT,4,2,7,2004,3,SG,Management Zone I,SimData
MT,4,13,7,2005,1,SG,Management Zone I,SimData
MT,4,5,7,2006,1,SG,Management Zone I,SimData
MT,4,10,7,2010,1,SG,Management Zone I,SimData
MT,4,0,8,2004,1,SG,Management Zone I,SimData
MT,4,0,8,2005,1,SG,Management Zone I,SimData
MT,4,0,8,2008,1,SG,Management Zone I,SimData
MT,4,3,8,2011,1,SG,Management Zone I,SimData
MT,4,0,8,2013,1,SG,Management Zone I,SimData
MT,4,0,9,2002,1,SG,Management Zone I,SimData
MT,4,8,9,2003,1,SG,Management Zone I,SimData
MT,4,11,9,2002,1,SG,Management Zone I,SimData
MT,4,19,9,2002,2,SG,Management Zone I,SimData
MT,4,7,9,2003,3,SG,Management Zone I,SimData
MT,4,28,9,2003,1,SG,Management Zone I,SimData
MT,4,30,9,2003,2,SG,Management Zone I,SimData
MT,4,20,9,2003,4,SG,Management Zone I,SimData
MT,4,14,9,2004,1,SG,Management Zone I,SimData
MT,4,29,9,2004,3,SG,Management Zone I,SimData
MT,4,22,9,2004,2,SG,Management Zone I,SimData
MT,4,16,9,2004,4,SG,Management Zone I,SimData
MT,4,11,9,2004,5,SG,Management Zone I,SimData
MT,4,23,9,2005,1,SG,Management Zone I,SimData
MT,4,20,9,2006,1,SG,Management Zone I,SimData
MT,4,3,9,2006,3,SG,Management Zone I,SimData
MT,4,28,9,2006,2,SG,Management Zone I,SimData
MT,4,11,9,2007,1,SG,Management Zone I,SimData
MT,4,0,9,2008,2,SG,Management Zone I,SimData
MT,4,13,9,2008,1,SG,Management Zone I,SimData
MT,4,0,9,2009,1,SG,Management Zone I,SimData
MT,4,11,9,2009,2,SG,Management Zone I,SimData
MT,4,4,9,2010,1,SG,Management Zone I,SimData
MT,4,17,9,2011,1,SG,Management Zone I,SimData
MT,4,1,9,2012,1,SG,Management Zone I,SimData
MT,4,3,9,2013,1,SG,Management Zone I,SimData
MT,4,3,9,2014,2,SG,Management Zone I,SimData
MT,4,0,9,2014,1,SG,Management Zone I,SimData
MT,4,0,10,2002,1,SG,Management Zone I,SimData
MT,4,16,10,2003,3,SG,Management Zone I,SimData
MT,4,0,10,2003,4,SG,Management Zone I,SimData
MT,4,0,10,2003,6,SG,Management Zone I,SimData
MT,4,2,10,2003,1,SG,Management Zone I,SimData
MT,4,0,10,2003,2,SG,Management Zone I,SimData
MT,4,10,10,2003,5,SG,Management Zone I,SimData
MT,4,44,10,2005,1,SG,Management Zone I,SimData
MT,4,4,10,2006,1,SG,Management Zone I,SimData
MT,4,9,10,2007,1,SG,Management Zone I,SimData
MT,4,4,10,2008,1,SG,Management Zone I,SimData
MT,4,1,10,2011,1,SG,Management Zone I,SimData
MT,4,24,11,2002,1,SG,Management Zone I,SimData
MT,4,12,11,2002,2,SG,Management Zone I,SimData
MT,4,3,11,2003,3,SG,Management Zone I,SimData
MT,4,3,11,2003,1,SG,Management Zone I,SimData
MT,4,21,11,2003,2,SG,Management Zone I,SimData
MT,4,16,11,2003,4,SG,Management Zone I,SimData
MT,4,9,11,2004,5,SG,Management Zone I,SimData
MT,4,5,11,2004,1,SG,Management Zone I,SimData
MT,4,3,11,2004,2,SG,Management Zone I,SimData
MT,4,0,11,2004,6,SG,Management Zone I,SimData
MT,4,11,11,2004,7,SG,Management Zone I,SimData
MT,4,19,11,2004,3,SG,Management Zone I,SimData
MT,4,6,11,2004,4,SG,Management Zone I,SimData
MT,4,33,11,2005,1,SG,Management Zone I,SimData
MT,4,25,11,2006,1,SG,Management Zone I,SimData
MT,4,30,11,2006,2,SG,Management Zone I,SimData
MT,4,24,11,2007,1,SG,Management Zone I,SimData
MT,4,12,11,2008,1,SG,Management Zone I,SimData
MT,4,20,11,2008,2,SG,Management Zone I,SimData
MT,4,23,11,2008,3,SG,Management Zone I,SimData
MT,4,31,11,2009,1,SG,Management Zone I,SimData
MT,4,24,11,2010,1,SG,Management Zone I,SimData
MT,4,15,11,2010,2,SG,Management Zone I,SimData
MT,4,8,11,2011,1,SG,Management Zone I,SimData
MT,4,16,11,2012,1,SG,Management Zone I,SimData
MT,4,24,11,2012,2,SG,Management Zone I,SimData
MT,4,13,11,2013,1,SG,Management Zone I,SimData
MT,4,24,11,2014,1,SG,Management Zone I,SimData
MT,4,11,12,2003,2,SG,Management Zone I,SimData
MT,4,1,12,2003,1,SG,Management Zone I,SimData
MT,4,19,12,2004,1,SG,Management Zone I,SimData
MT,4,22,12,2004,3,SG,Management Zone I,SimData
MT,4,21,12,2004,2,SG,Management Zone I,SimData
MT,4,0,12,2004,4,SG,Management Zone I,SimData
MT,4,10,12,2005,1,SG,Management Zone I,SimData
MT,4,21,12,2006,1,SG,Management Zone I,SimData
MT,4,15,12,2007,1,SG,Management Zone I,SimData
MT,4,12,12,2008,1,SG,Management Zone I,SimData
MT,4,8,12,2009,1,SG,Management Zone I,SimData
MT,4,0,12,2010,1,SG,Management Zone I,SimData
MT,4,6,12,2011,1,SG,Management Zone I,SimData
MT,4,6,12,2012,1,SG,Management Zone I,SimData
MT,4,13,12,2013,1,SG,Management Zone I,SimData
MT,4,1,12,2014,1,SG,Management Zone I,SimData
MT,4,29,13,2002,1,SG,Management Zone I,SimData
MT,4,23,13,2002,2,SG,Management Zone I,SimData
MT,4,68,13,2002,3,SG,Management Zone I,SimData
MT,4,30,13,2003,1,SG,Management Zone I,SimData
MT,4,15,13,2004,2,SG,Management Zone I,SimData
MT,4,10,13,2004,1,SG,Management Zone I,SimData
MT,4,59,13,2004,3,SG,Management Zone I,SimData
MT,4,45,13,2005,1,SG,Management Zone I,SimData
MT,4,13,13,2006,1,SG,Management Zone I,SimData
MT,4,27,13,2006,2,SG,Management Zone I,SimData
MT,4,59,13,2007,1,SG,Management Zone I,SimData
MT,4,32,13,2008,1,SG,Management Zone I,SimData
MT,4,32,13,2009,1,SG,Management Zone I,SimData
MT,4,52,13,2010,1,SG,Management Zone I,SimData
MT,4,22,13,2011,1,SG,Management Zone I,SimData
MT,4,31,13,2012,1,SG,Management Zone I,SimData
MT,4,11,13,2013,1,SG,Management Zone I,SimData
MT,4,27,13,2014,1,SG,Management Zone I,SimData
MT,4,15,14,2002,4,SG,Management Zone I,SimData
MT,4,2,14,2002,1,SG,Management Zone I,SimData
MT,4,2,14,2002,2,SG,Management Zone I,SimData
MT,4,18,14,2002,3,SG,Management Zone I,SimData
MT,4,12,14,2003,1,SG,Management Zone I,SimData
MT,4,21,14,2004,1,SG,Management Zone I,SimData
MT,4,11,14,2005,1,SG,Management Zone I,SimData
MT,4,14,14,2006,1,SG,Management Zone I,SimData
MT,4,3,14,2006,2,SG,Management Zone I,SimData
MT,4,4,14,2007,1,SG,Management Zone I,SimData
MT,4,0,14,2007,3,SG,Management Zone I,SimData
MT,4,10,14,2007,2,SG,Management Zone I,SimData
MT,4,2,14,2008,1,SG,Management Zone I,SimData
MT,4,0,14,2010,1,SG,Management Zone I,SimData
MT,4,3,14,2012,1,SG,Management Zone I,SimData
MT,4,3,14,2012,2,SG,Management Zone I,SimData
MT,4,0,14,2013,1,SG,Management Zone I,SimData
MT,4,5,14,2014,1,SG,Management Zone I,SimData
MT,4,6,14,2014,2,SG,Management Zone I,SimData
MT,4,1,14,2014,3,SG,Management Zone I,SimData
MT,4,9,15,2002,1,SG,Management Zone I,SimData
MT,4,0,15,2002,2,SG,Management Zone I,SimData
MT,4,10,15,2003,2,SG,Management Zone I,SimData
MT,4,8,15,2003,1,SG,Management Zone I,SimData
MT,4,16,15,2004,1,SG,Management Zone I,SimData
MT,4,36,15,2005,1,SG,Management Zone I,SimData
MT,4,20,15,2006,1,SG,Management Zone I,SimData
MT,4,13,15,2007,1,SG,Management Zone I,SimData
MT,4,9,15,2008,1,SG,Management Zone I,SimData
MT,4,0,15,2012,1,SG,Management Zone I,SimData
MT,4,1,15,2013,1,SG,Management Zone I,SimData
MT,4,0,15,2014,1,SG,Management Zone I,SimData
MT,4,6,16,2002,4,SG,Management Zone I,SimData
MT,4,4,16,2002,1,SG,Management Zone I,SimData
MT,4,13,16,2002,2,SG,Management Zone I,SimData
MT,4,0,16,2002,3,SG,Management Zone I,SimData
MT,4,0,16,2002,5,SG,Management Zone I,SimData
MT,4,0,16,2002,6,SG,Management Zone I,SimData
MT,4,0,16,2003,3,SG,Management Zone I,SimData
MT,4,11,16,2003,1,SG,Management Zone I,SimData
MT,4,0,16,2003,2,SG,Management Zone I,SimData
MT,4,0,16,2004,1,SG,Management Zone I,SimData
MT,4,12,16,2004,3,SG,Management Zone I,SimData
MT,4,0,16,2004,6,SG,Management Zone I,SimData
MT,4,4,16,2004,5,SG,Management Zone I,SimData
MT,4,16,16,2004,2,SG,Management Zone I,SimData
MT,4,19,16,2004,4,SG,Management Zone I,SimData
MT,4,25,16,2005,1,SG,Management Zone I,SimData
MT,4,9,16,2006,2,SG,Management Zone I,SimData
MT,4,0,16,2006,1,SG,Management Zone I,SimData
MT,4,15,16,2007,1,SG,Management Zone I,SimData
MT,4,0,16,2007,2,SG,Management Zone I,SimData
MT,4,0,16,2008,1,SG,Management Zone I,SimData
MT,4,3,16,2009,1,SG,Management Zone I,SimData
MT,4,0,16,2010,1,SG,Management Zone I,SimData
MT,4,0,16,2010,3,SG,Management Zone I,SimData
MT,4,6,16,2010,2,SG,Management Zone I,SimData
MT,4,6,16,2011,1,SG,Management Zone I,SimData
MT,4,0,16,2012,2,SG,Management Zone I,SimData
MT,4,8,16,2012,3,SG,Management Zone I,SimData
MT,4,9,16,2012,1,SG,Management Zone I,SimData
MT,4,12,16,2013,1,SG,Management Zone I,SimData
MT,4,9,16,2013,2,SG,Management Zone I,SimData
MT,4,10,16,2014,1,SG,Management Zone I,SimData
MT,4,0,16,2014,2,SG,Management Zone I,SimData
MT,4,0,16,2014,3,SG,Management Zone I,SimData
MT,4,46,17,2002,1,SG,Management Zone I,SimData
MT,4,31,17,2002,2,SG,Management Zone I,SimData
MT,4,17,17,2006,1,SG,Management Zone I,SimData
MT,4,14,17,2006,2,SG,Management Zone I,SimData
MT,4,10,18,2002,2,SG,Management Zone I,SimData
MT,4,4,18,2002,4,SG,Management Zone I,SimData
MT,4,2,18,2002,6,SG,Management Zone I,SimData
MT,4,0,18,2002,1,SG,Management Zone I,SimData
MT,4,2,18,2002,3,SG,Management Zone I,SimData
MT,4,17,18,2002,5,SG,Management Zone I,SimData
MT,4,27,18,2003,2,SG,Management Zone I,SimData
MT,4,11,18,2003,1,SG,Management Zone I,SimData
MT,4,0,18,2004,1,SG,Management Zone I,SimData
MT,4,26,18,2004,5,SG,Management Zone I,SimData
MT,4,36,18,2004,7,SG,Management Zone I,SimData
MT,4,16,18,2004,6,SG,Management Zone I,SimData
MT,4,38,18,2004,2,SG,Management Zone I,SimData
MT,4,28,18,2004,3,SG,Management Zone I,SimData
MT,4,20,18,2004,4,SG,Management Zone I,SimData
MT,4,28,18,2005,1,SG,Management Zone I,SimData
MT,4,8,18,2006,2,SG,Management Zone I,SimData
MT,4,26,18,2006,1,SG,Management Zone I,SimData
MT,4,29,18,2007,1,SG,Management Zone I,SimData
MT,4,13,18,2008,1,SG,Management Zone I,SimData
MT,4,15,18,2009,1,SG,Management Zone I,SimData
MT,4,24,18,2009,2,SG,Management Zone I,SimData
MT,4,5,18,2010,1,SG,Management Zone I,SimData
MT,4,17,18,2010,3,SG,Management Zone I,SimData
MT,4,23,18,2010,2,SG,Management Zone I,SimData
MT,4,10,18,2011,1,SG,Management Zone I,SimData
MT,4,0,18,2012,2,SG,Management Zone I,SimData
MT,4,4,18,2012,3,SG,Management Zone I,SimData
MT,4,5,18,2012,1,SG,Management Zone I,SimData
MT,4,14,18,2013,1,SG,Management Zone I,SimData
MT,4,0,18,2013,2,SG,Management Zone I,SimData
MT,4,16,18,2014,1,SG,Management Zone I,SimData
MT,4,1,18,2014,3,SG,Management Zone I,SimData
MT,4,0,18,2014,2,SG,Management Zone I,SimData
MT,4,11,19,2002,1,SG,Management Zone I,SimData
MT,4,0,19,2002,2,SG,Management Zone I,SimData
MT,4,18,19,2003,1,SG,Management Zone I,SimData
MT,4,1,19,2003,2,SG,Management Zone I,SimData
MT,4,0,19,2004,2,SG,Management Zone I,SimData
MT,4,7,19,2004,1,SG,Management Zone I,SimData
MT,4,12,19,2005,1,SG,Management Zone I,SimData
MT,4,5,19,2006,1,SG,Management Zone I,SimData
MT,4,13,19,2007,1,SG,Management Zone I,SimData
MT,4,19,19,2007,2,SG,Management Zone I,SimData
MT,4,12,19,2008,1,SG,Management Zone I,SimData
MT,4,7,19,2008,2,SG,Management Zone I,SimData
MT,4,0,19,2009,1,SG,Management Zone I,SimData
MT,4,13,19,2011,1,SG,Management Zone I,SimData
MT,4,3,19,2012,1,SG,Management Zone I,SimData
MT,4,13,19,2013,1,SG,Management Zone I,SimData
MT,4,2,19,2013,2,SG,Management Zone I,SimData
MT,4,6,19,2014,1,SG,Management Zone I,SimData
MT,4,5,20,2002,1,SG,Management Zone I,SimData
MT,4,10,20,2004,1,SG,Management Zone I,SimData
MT,4,13,20,2006,1,SG,Management Zone I,SimData
MT,4,5,20,2007,1,SG,Management Zone I,SimData
MT,4,5,20,2002,1,SG,Management Zone I,SimData
MT,4,2,20,2013,1,SG,Management Zone I,SimData
MT,4,6,20,2013,2,SG,Management Zone I,SimData
MT,4,6,21,2002,1,SG,Management Zone I,SimData
MT,4,0,21,2008,1,SG,Management Zone I,SimData
MT,4,3,21,2011,1,SG,Management Zone I,SimData
MT,4,0,21,2012,3,SG,Management Zone I,SimData
MT,4,2,21,2012,2,SG,Management Zone I,SimData
MT,4,6,21,2012,1,SG,Management Zone I,SimData
MT,4,0,21,2013,1,SG,Management Zone I,SimData
MT,4,7,21,2013,2,SG,Management Zone I,SimData
MT,4,11,21,2014,1,SG,Management Zone I,SimData
MT,4,6,22,2002,2,SG,Management Zone I,SimData
MT,4,0,22,2002,3,SG,Management Zone I,SimData
MT,4,0,22,2002,1,SG,Management Zone I,SimData
MT,4,0,22,2003,1,SG,Management Zone I,SimData
MT,4,0,22,2004,2,SG,Management Zone I,SimData
MT,4,0,22,2004,1,SG,Management Zone I,SimData
MT,4,0,22,2004,3,SG,Management Zone I,SimData
MT,4,18,22,2005,1,SG,Management Zone I,SimData
MT,4,0,22,2006,1,SG,Management Zone I,SimData
MT,4,13,22,2006,2,SG,Management Zone I,SimData
MT,4,6,22,2007,1,SG,Management Zone I,SimData
MT,4,0,22,2007,3,SG,Management Zone I,SimData
MT,4,0,22,2007,2,SG,Management Zone I,SimData
MT,4,0,22,2010,1,SG,Management Zone I,SimData
MT,4,8,22,2012,1,SG,Management Zone I,SimData
MT,4,3,22,2012,2,SG,Management Zone I,SimData
MT,4,2,23,2002,3,SG,Management Zone I,SimData
MT,4,0,23,2002,1,SG,Management Zone I,SimData
MT,4,14,23,2002,2,SG,Management Zone I,SimData
MT,4,0,23,2002,4,SG,Management Zone I,SimData
MT,4,6,23,2003,1,SG,Management Zone I,SimData
MT,4,0,23,2004,2,SG,Management Zone I,SimData
MT,4,10,23,2004,1,SG,Management Zone I,SimData
MT,4,0,23,2004,3,SG,Management Zone I,SimData
MT,4,19,23,2006,2,SG,Management Zone I,SimData
MT,4,10,23,2006,1,SG,Management Zone I,SimData
MT,4,13,23,2007,1,SG,Management Zone I,SimData
MT,4,13,23,2007,2,SG,Management Zone I,SimData
MT,4,5,23,2010,1,SG,Management Zone I,SimData
MT,4,9,23,2010,2,SG,Management Zone I,SimData
MT,4,0,23,2012,1,SG,Management Zone I,SimData
MT,4,2,23,2012,2,SG,Management Zone I,SimData
MT,4,6,23,2012,3,SG,Management Zone I,SimData
MT,4,2,23,2013,1,SG,Management Zone I,SimData
MT,4,0,23,2014,1,SG,Management Zone I,SimData
MT,4,0,23,2014,2,SG,Management Zone I,SimData
MT,4,9,23,2014,3,SG,Management Zone I,SimData
MT,4,0,24,2002,3,SG,Management Zone I,SimData
MT,4,7,24,2002,4,SG,Management Zone I,SimData
MT,4,3,24,2002,1,SG,Management Zone I,SimData
MT,4,28,24,2002,2,SG,Management Zone I,SimData
MT,4,1,24,2003,1,SG,Management Zone I,SimData
MT,4,8,24,2003,2,SG,Management Zone I,SimData
MT,4,10,24,2004,5,SG,Management Zone I,SimData
MT,4,22,24,2004,1,SG,Management Zone I,SimData
MT,4,18,24,2004,4,SG,Management Zone I,SimData
MT,4,14,24,2004,3,SG,Management Zone I,SimData
MT,4,10,24,2004,6,SG,Management Zone I,SimData
MT,4,3,24,2004,2,SG,Management Zone I,SimData
MT,4,15,24,2006,1,SG,Management Zone I,SimData
MT,4,27,24,2008,1,SG,Management Zone I,SimData
MT,4,10,24,2010,1,SG,Management Zone I,SimData
MT,4,9,24,2011,1,SG,Management Zone I,SimData
MT,4,11,24,2012,1,SG,Management Zone I,SimData
MT,4,12,24,2013,1,SG,Management Zone I,SimData
MT,4,0,25,2002,4,SG,Management Zone I,SimData
MT,4,10,25,2002,5,SG,Management Zone I,SimData
MT,4,8,25,2002,1,SG,Management Zone I,SimData
MT,4,8,25,2002,3,SG,Management Zone I,SimData
MT,4,13,25,2002,2,SG,Management Zone I,SimData
MT,4,19,25,2003,3,SG,Management Zone I,SimData
MT,4,3,25,2003,4,SG,Management Zone I,SimData
MT,4,3,25,2003,1,SG,Management Zone I,SimData
MT,4,14,25,2003,2,SG,Management Zone I,SimData
MT,4,14,25,2003,5,SG,Management Zone I,SimData
MT,4,15,25,2003,6,SG,Management Zone I,SimData
MT,4,10,25,2004,2,SG,Management Zone I,SimData
MT,4,0,25,2004,1,SG,Management Zone I,SimData
MT,4,6,25,2004,5,SG,Management Zone I,SimData
MT,4,5,25,2004,4,SG,Management Zone I,SimData
MT,4,0,25,2004,6,SG,Management Zone I,SimData
MT,4,8,25,2004,3,SG,Management Zone I,SimData
MT,4,19,25,2005,1,SG,Management Zone I,SimData
MT,4,0,25,2006,1,SG,Management Zone I,SimData
MT,4,27,25,2006,2,SG,Management Zone I,SimData
MT,4,17,25,2007,1,SG,Management Zone I,SimData
MT,4,2,25,2008,1,SG,Management Zone I,SimData
MT,4,5,25,2008,2,SG,Management Zone I,SimData
MT,4,13,25,2010,1,SG,Management Zone I,SimData
MT,4,4,25,2010,2,SG,Management Zone I,SimData
MT,4,0,25,2011,2,SG,Management Zone I,SimData
MT,4,0,25,2011,1,SG,Management Zone I,SimData
MT,4,0,25,2012,1,SG,Management Zone I,SimData
MT,4,9,25,2013,1,SG,Management Zone I,SimData
MT,4,4,25,2014,1,SG,Management Zone I,SimData
MT,4,7,25,2014,2,SG,Management Zone I,SimData
MT,4,42,26,2002,5,SG,Management Zone I,SimData
MT,4,6,26,2002,3,SG,Management Zone I,SimData
MT,4,0,26,2002,4,SG,Management Zone I,SimData
MT,4,0,26,2002,1,SG,Management Zone I,SimData
MT,4,22,26,2002,2,SG,Management Zone I,SimData
MT,4,0,26,2003,1,SG,Management Zone I,SimData
MT,4,0,26,2003,2,SG,Management Zone I,SimData
MT,4,0,26,2004,2,SG,Management Zone I,SimData
MT,4,78,26,2004,3,SG,Management Zone I,SimData
MT,4,14,26,2004,1,SG,Management Zone I,SimData
MT,4,19,26,2004,4,SG,Management Zone I,SimData
